flight_id,date,year,month,day,hour,carrier,carrier_name,origin,origin_city,dest,dest_city,dep_delay,arr_delay,distance
0,2024-01-01,2024,1,1,0,NK,Spirit Airlines,DEN,Denver,ATL,Atlanta,20.9,18.8,1945
1,2024-01-01,2024,1,1,1,AS,Alaska Airlines,DEN,Denver,SFO,San Francisco,9.9,8.9,2095
2,2024-01-01,2024,1,1,2,WN,Southwest Airlines,ATL,Atlanta,ORD,Chicago,29.3,26.4,2767
3,2024-01-01,2024,1,1,3,NK,Spirit Airlines,ORD,Chicago,LAX,Los Angeles,11.7,10.5,232
4,2024-01-01,2024,1,1,4,NK,Spirit Airlines,SFO,San Francisco,ATL,Atlanta,11.3,10.2,582
5,2024-01-01,2024,1,1,5,DL,Delta Air Lines,DEN,Denver,ATL,Atlanta,30.6,27.5,2410
6,2024-01-01,2024,1,1,6,DL,Delta Air Lines,BOS,Boston,ATL,Atlanta,32.0,28.8,1096
7,2024-01-01,2024,1,1,7,NK,Spirit Airlines,JFK,New York,ATL,Atlanta,30.5,27.5,2330
8,2024-01-01,2024,1,1,8,DL,Delta Air Lines,BOS,Boston,ORD,Chicago,26.5,23.9,2280
9,2024-01-01,2024,1,1,9,AS,Alaska Airlines,ATL,Atlanta,JFK,New York,53.7,48.3,1955
10,2024-01-01,2024,1,1,10,AS,Alaska Airlines,DFW,Dallas,SFO,San Francisco,26.4,23.8,1156
11,2024-01-01,2024,1,1,11,AS,Alaska Airlines,SFO,San Francisco,ATL,Atlanta,18.3,16.5,2363
12,2024-01-01,2024,1,1,12,WN,Southwest Airlines,ORD,Chicago,SFO,San Francisco,25.8,23.2,2615
13,2024-01-01,2024,1,1,13,WN,Southwest Airlines,ATL,Atlanta,DEN,Denver,19.7,17.7,1921
14,2024-01-01,2024,1,1,14,AA,American Airlines,SFO,San Francisco,BOS,Boston,40.6,36.5,632
15,2024-01-01,2024,1,1,15,WN,Southwest Airlines,SFO,San Francisco,LAX,Los Angeles,27.9,25.1,2209
16,2024-01-01,2024,1,1,16,AA,American Airlines,JFK,New York,SFO,San Francisco,36.4,32.8,638
17,2024-01-01,2024,1,1,17,NK,Spirit Airlines,SFO,San Francisco,JFK,New York,24.8,22.3,2390
18,2024-01-01,2024,1,1,18,B6,JetBlue,JFK,New York,ATL,Atlanta,32.5,29.3,1222
19,2024-01-01,2024,1,1,19,AA,American Airlines,ATL,Atlanta,JFK,New York,35.8,32.2,1114
20,2024-01-01,2024,1,1,20,B6,JetBlue,DFW,Dallas,SFO,San Francisco,22.6,20.3,1136
